monthly,country_name,Approval_Smoothed,Approval_Not_Smoothed,app_marginals_obs,Disapproval_Smoothed,Disapproval_Not_Smoothed,neg_marginals_obs,Country,ccodecow,wb_code
1988m6,United Kingdom,38.692719,38.76236,5,49.604019,49.527519,5,United Kingdom,200,GBR
2021m3,United Kingdom,38.610291,38.96352,3,50.149551,49.928162,3,United Kingdom,200,GBR
2001m3,United Kingdom,40.563148,40.619591,2,48.288471,48.527,2,United Kingdom,200,GBR
2000m7,United Kingdom,36.480171,36.509998,4,52.600609,52.736599,4,United Kingdom,200,GBR
1995m2,United Kingdom,19.826941,19.82546,3,72.202263,72.10302,3,United Kingdom,200,GBR
1990m7,United Kingdom,28.803181,29.09734,5,61.521919,61.09198,5,United Kingdom,200,GBR
1959m2,United Kingdom,41.2547,41.10968,2,,,,United Kingdom,200,GBR
2013m10,United Kingdom,34.780869,34.951752,5,55.595421,55.223671,5,United Kingdom,200,GBR
2015m10,United Kingdom,39.25787,39.095749,4,52.548271,52.507172,4,United Kingdom,200,GBR
1995m10,United Kingdom,24.691999,24.857161,4,65.976044,65.775589,4,United Kingdom,200,GBR
1986m5,United Kingdom,29.42873,29.550871,5,60.408878,60.179489,5,United Kingdom,200,GBR
2012m3,United Kingdom,35.395519,35.344769,7,57.125648,57.288551,7,United Kingdom,200,GBR
1965m12,United Kingdom,48.93119,49.11137,4,36.933861,37.08289,4,United Kingdom,200,GBR
2016m6,United Kingdom,33.07933,33.386971,3,55.493408,54.952869,3,United Kingdom,200,GBR
1977m8,United Kingdom,34.258671,34.717289,3,52.035252,51.68264,3,United Kingdom,200,GBR
1940m9,United Kingdom,58.634621,58.64603,0,,,,United Kingdom,200,GBR
2004m4,United Kingdom,29.916019,29.98724,2,60.027401,60.008759,2,United Kingdom,200,GBR
2021m11,United Kingdom,29.382339,29.141359,2,58.431419,58.88744,2,United Kingdom,200,GBR
2000m3,United Kingdom,40.496311,40.438801,4,47.764778,47.851608,4,United Kingdom,200,GBR
1987m12,United Kingdom,40.504089,40.433449,5,48.44051,48.68919,5,United Kingdom,200,GBR
